t-FDP-Naive,t-FDP-BH,t-FDP-RVS,t-FDP-ibFFTCPU,t-FDP-ibFFTGPU,SFDP,PMDS,FR-RVS,Maxent,DRGraph
0.018,0.058,0.022,0.271,0.232,0.048,0.022,0.022,0.017,0.014
0.02,0.061,0.033,0.256,0.232,0.04,0.022,0.031,0.033,0.016
0.024,0.069,0.043,0.255,0.232,0.042,0.021,0.044,0.038,0.017
0.03,0.08,0.054,0.252,0.231,0.047,0.022,0.055,0.056,0.022
0.046,0.116,0.091,0.254,0.229,0.071,0.026,0.093,0.112,0.03
0.051,0.123,0.102,0.261,0.229,0.065,0.028,0.101,0.122,0.036
0.081,0.152,0.129,0.281,0.238,0.062,0.03,0.127,0.156,0.043
0.089,0.186,0.131,0.32,0.238,0.066,0.038,0.133,0.166,0.04
0.123,0.213,0.206,0.292,0.238,0.087,0.036,0.201,0.194,0.051
0.146,0.25,0.229,0.262,0.235,0.093,0.037,0.226,0.2,0.053
0.568,0.481,0.421,0.715,0.239,0.17,0.037,0.427,0.42,0.117
0.73,0.57,0.504,0.592,0.239,0.206,0.041,0.501,0.534,0.129
0.732,0.527,0.579,0.495,0.245,0.193,0.042,0.553,0.527,0.125
0.754,0.604,0.923,0.293,0.236,0.226,0.042,0.902,0.557,0.129
0.754,0.521,0.585,0.923,0.234,0.22,0.041,0.571,0.597,0.143
0.85,0.528,0.589,0.269,0.242,0.216,0.04,0.572,0.485,0.134
0.927,0.629,0.626,0.693,0.239,0.275,0.044,0.613,0.562,0.158
1.556,1.0,0.656,1.4,0.246,0.288,0.042,0.626,0.711,0.203
1.834,0.963,0.856,1.046,0.252,0.295,0.04,0.873,0.78,0.235
1.932,1.124,0.932,0.32,0.235,0.515,0.027,0.942,1.021,0.206
2.809,1.255,0.922,0.328,0.243,0.416,0.028,0.903,0.825,0.254
2.942,1.065,0.948,0.747,0.235,0.358,0.04,0.923,0.756,0.259
3.274,1.38,1.138,0.316,0.243,0.544,0.043,1.14,0.831,0.248
5.684,1.707,1.164,1.547,0.246,0.56,0.041,1.161,1.283,0.354
15.397,3.303,1.246,1.611,0.238,0.912,0.036,1.163,1.818,0.603
16.811,3.18,1.649,1.855,0.247,1.069,0.04,1.649,2.133,0.665
16.905,3.185,2.607,1.431,0.273,1.157,0.026,2.64,1.97,0.641
18.905,3.86,2.865,1.657,0.277,1.977,0.031,2.915,1.731,0.714
42.934,5.794,2.603,6.39,0.254,1.681,0.036,2.764,2.918,1.032
49.355,6.767,2.73,2.79,0.272,19.685,0.033,2.68,2.37,1.036
52.214,8.555,3.866,0.656,0.442,3.448,0.032,3.699,8.602,1.338
65.48,14.308,4.173,7.003,0.376,2.037,0.03,3.938,3.471,1.227
71.377,9.294,4.303,3.364,0.252,2.423,0.031,4.132,3.698,1.28
84.64,10.243,4.756,4.057,0.484,2.382,0.034,4.595,4.388,1.407
165.716,13.021,4.927,1.379,0.297,3.747,0.043,4.674,7.017,2.061
182.4,12.125,5.43,3.254,0.313,3.64,0.039,5.134,6.483,2.144
187.617,15.66,7.821,1.351,0.261,10.072,0.039,6.154,18.401,3.167
860.582,26.266,16.623,2.71,0.309,12.858,0.061,15.264,27.984,8.747
1349.715,41.234,20.866,3.69,0.331,17.309,0.068,19.356,44.453,12.551
3781.349,55.274,34.315,6.026,0.394,28.956,0.097,29.346,43.85,24.025
9162.795,138.933,52.536,96.235,4.845,51.943,0.145,47.398,59.798,40.394
13276.84,150.796,66.986,18.333,0.956,82.247,0.18,56.793,86.894,53.438
,388.873,150.802,13.503,0.855,336.45,0.347,139.947,496.501,138.76
,450.735,157.681,15.377,1.03,398.78,0.42,144.348,565.363,158.34
,1728.55,517.296,109.864,5.102,1475.13,0.893,467.936,2109.583,656.68
,1721.542,548.984,38.936,8.603,1575.1,1.193,488.934,2339.848,796.68
,1204.884,664.638,117.907,5.676,1735.68,1.095,593.379,2662.641,863.76
,3019.649,975.975,139.176,6.777,3346.43,1.913,907.786,4641.538,1315.64
,6200.964,1844.873,452.131,44.755,5073.41,7.29,1879.076,10892.518,2261.83
,7985.29,2667.958,261.707,18.835,5745.65,6.23,2571.134,11954.249,2956.79
